"197","Redacteur","A",,,"Editor",
"198","Modeontwerper","A",,,"Fashion designer",
"199","Videobewerker","A",,,"Film and video editor",
"200","Kunstschilder / beeldhouwer","A",,,"Fine artist (painter / sculptor / illustrator)",
"201","Grafisch ontwerper","A",,,"Graphic designer",
"202","Kapper of schoonheidspecialist","A",,,"Hairdresser / Hairstylist / Cosmetologist",
"203","Binnenhuisarchitect","A",,,"Interior designer",
"204","Tolk of vertaler","A",,,"Interpreter / Translator",
"205","Landschapsarchitect","A",,,"Landscape architect",
"206","Makeup artiest","A",,,"Makeup artist",
"207","Model","A",,,"Model",
"208","TV-presentator","A",,,"TV presenter",
"209","Muziek producent","A",,,"Music producer",
"210","Muzikant","A",,,"Musicians (Instrumental)",
"211","Dichter","A",,,"Poet / Lyricist / Creative writer",
"212","Radio- of TV-presentator","A",,,"Radio / Television announcer",
"213","Verslaggever / Correspondent ","A",,,"Reporter / Correspondent",
"214","Zanger(es)","A",,,"Singer",
"215","Technisch schrijver","A",,,"Technical writers",
"216","Docent antropologie ","S",,,"Anthropology teacher",
"217","Docent archeologie ","S",,,"Archeology teacher",
"218","Mediator / Bemiddelaar","S",,,"Mediator",
"219","Docent architectuur ","S",,,"Architecture teacher",
"220","Docent kunst, drama of muziek ","S",,,"Art, drama, and music teacher",
"221","Docent biologische wetenschappen ","S",,,"Biological science teacher",
"222","Docent bedrijfskunde","S",,,"Business teacher",
"223","Docent scheikunde","S",,,"Chemistry teacher",
"224","Chiropractor","S",,,"Chiropractor",
"225","Coach / Scout","S",,,"Coach / Scout",
"226","Docent communicatie","S",,,NULL,NULL
"227","Docent informatica","S",,,"Computer science teacher",
"228","ConciÃ«rge","S",,,"Concierge",
"229","Docent strafrecht","S",,,"Law teacher",
"230","MondhygiÃ«nist","S",,,"Dental hygienist",
"231","Docent economie","S",,,"Economic teacher",
"232","Begeleider/leraar peuterspeelzaal","S",,,"Preschool teacher",
"233","Fitness instructeur / Aerobics instructeur","S",,,"Fitness trainer / Aerobics instructor",
"234","Docent Letterkunde / Vreemde talen","S",,,"Teacher literature / foreign languages",
"235","Uitvaartbegeleider","S",,,"Funeral attendant",
"236","Verslavings- en orthopedagogisch adviseur ","S",,,"Substance abuse and behavioral disorder counselor",
"237","Reisgids","S",,,"Travel guide",
"238","Lobby medewerker ","S",,,"Usher / Lobby attendant",
"239","Ober / Serveerster","S",,,"Waiter / Waitress ",
"240","Rechter Bestuursrecht","O",,,"Administrative law judge ",
"241","Reclame manager","O",,,"Advertising and promotions manager",
"242","Sales vertegenwoordiger","O",,,"Sales representative",
"243","Zaakwaarnemer artiesten en sporters","O",,,"Agent / Business manager (of artists, performers, athletes)",
"244","Luchtverkeersleider","O",,,"Air traffic controller",
"245","Taxateur (vastgoed)","O",,,"Appraiser (real estate)",
"246","Manager aquacultuur","O",,,"Aqua-cultural manager",
"247","Barman / Barkeeper","O",,,"Bartender",
"248","Chef (kok)","O",,,"Chef / Head Cook",
"249","IT systeemmanager","O",,,"IT System manager",
"250","Bouwmanager","O",,,"Construction manager",
"251","Copywriter","O",,,"Copy writer",
"252","Opsporingsambtenaar","O",,,"Criminal investigator / Special agent",
"253","Gewas en/of veeteelt manager","O",,,"Crop and livestock manager",
"254","Curator","O",,,"Curator",
"255","Vertegenwoordiger klantenservice","O",,,"Customer service representative",
"256","Financieel manager","O",,,"Financial manager",
"257","Sales manager","O",,,"Sales manager",
"258","Kapitein (maritiem)","O",,,"Ship and boat captain",
"259","Huidverzorging specialist","O",,,"Skin care specialist",
"260","Opslag en distributiemanager","O",,,"Warehouse distribution manager",
"261","Technisch directeur/manager","O",,,"Technical director / manager",
"262","Telemarketeers","O",,,"Telemarketer",
"263","Logistiek manager","O",,,"Logistic manager",
"264","Reisbureau medewerker","O",,,"Travel agent",
"265","Reisgids","O",,,"Travel guide",
"266","Inkoper (groothandel / retail)","O",,,"Buyer (retail / warehouse)",
"267","Accountant","C",,,"Accountant",
"268","Actuaris","C",,,"Actuary",
"269","Archivaris","C",,,"Archivist",
"270","Taxateur","C",,,"Appraiser (real estate)",
"271","Audiovisueel specialist","C",,,"Audio-visual specialist",
"272","Databasebeheerder","C",,,"Database administrator",
"273","Administratief medewerker","C",,,"Administrative assistant",
"274","Debiteuren- en Crediteurenbeheer medewerker","C",,,"Bookkeeping, Accounting, and Auditing Clerks",
"275","Kassier","C",,,"Cashier",
"276","Budget analist","C",,,"Budget analyst",
"277","Logistiek adviseur","C",,,"Cargo and freight agent",
"278","Beleidsmedewerker Ruimtelijke Ordening","C",,,"City and regional planning aide",
"279","Claim onderzoeker (verzekering)","C",,,"Insurance claim clerk ",
"280","Computer beveiligingsspecialist","C",,,"Computer security specialist",
"281","Griffier","C",,,"Court clerk",
"282","Kredietanalist","C",,,"Credit analyst",
"283","Rechtbankverslaggever","C",,,NULL,NULL
"284","Tandartsassistent","C",,,"Dental assistant",
"285","Taxi centralist (meldkamer)","C",,,"Taxi dispatcher",
"286","Management secretaresse","C",,,"Executive secretary",
"287","Administratief assistent","C",,,"Administrative assistant",
"288","Brandveiligheid inspecteur","C",,,"Fire inspector",
"289","Financieel analist","C",,,"Financial analyst",
"290","Rechtbankverslaggever","C",,,"Court reporter",
"291","Milieu-inspecteur","C",,,"Environmental compliance inspectors",
"292","Croupier","C",,,"Gaming / Casino dealer",
"293","Geofysicus","C",,,"Geophysicist",
"294","Hotel, Motel of Resort medewerker","C",,,"Hotel, Motel, and Resort desk clerk",
"295","HR assistent (personeelszaken)","C",,,"Human Resources Assistant",
"296","Douaneambtenaar","C",,,"Customs officer",
"297","Telefonist","C",,,"Telephone operator",
"298","Immigratie en Douane inspecteur","C",,,"Immigration and customs inspectors",
"299","Juridisch secretaresse","C",,,"Legal secretary",
"300","Bibliothecaris","C",,,"Librarian",
"301","Biobliotheekassistent","C",,,"Library assistant",
"302","Medisch secretaresse","C",,,"Medical secretary",
"303","Netwerk designer (IT)","C",,,"Network designer (IT)",
"304","Kantoorassistent","C",,,"Office clerk",
"305","Juridisch medewerker","C",,,"Legal secretary",
"306","Apothekersassistent","C",,,"Pharmacy aide",
"307","Centralist (meldkamer politie, brandweer, ambulance)","C",,,"Police, Fire, and Ambulance dispatcher",
"308","Postsorteerder","C",,,"Mail sorter",
"309","Receptioniste","C",,,"Receptionist",
"310","Sales vertegenwoordiger","C",,,"Sales representative",
"311","Logistiek medewerker","C",,,"Logistician",
"312","Statistisch assistent","C",,,"Statistical assistant",
"313","Statisticus","C",,,"Statistician",
"314","Controller","C",,,"Controller",
"315","Web developer","C",,,"Web developer",
